[82.01207,-3.39738]
[84.54977,-4.42237]
[85.51300,-4.95131]
[86.75742,-3.80299]
[87.03637,-2.86723]
[87.53334,-4.31714]
[88.66188,-3.23144]
[89.36160,-4.24561]
[88.47464,-5.41562]
[87.81343,-3.54942]
[87.00582,-3.13195]
[86.00386,-3.13242]
[85.02055,-3.70225]
[83.24905,-2.74455]
[82.01446,-0.90734]
[81.94284,-1.47629]
[80.98668,-1.04465]
[81.41313,-1.52052]
[81.82149,-3.12506]
[81.36939,-3.84480]
[81.54336,-2.44233]
[81.54183,-2.31185]
[82.00740,-2.27809]
[82.99708,-1.81191]
[81.77944,-1.47092]
[81.75627,-1.39662]
[82.23834,-1.76281]
[82.33034,-3.22804]
[81.97173,-3.72524]
[82.26791,-3.43714]
[81.79382,-2.44732]
[80.82833,-2.77615]
[81.18258,-3.18739]
[82.02545,-4.01888]
[82.10319,-1.05972]
[81.85598,-3.38396]
[81.73037,-1.60176]
[84.17162,-3.31049]
[85.14199,-3.37910]
[85.51376,-2.62900]
[85.39809,-3.76023]
[86.06738,-3.21065]
[87.50664,-2.88078]
[89.46528,-3.84179]
[90.54555,-6.77525]
[90.38036,-5.82582]
[88.04309,-6.97248]
[85.25005,-4.54576]
[82.50791,-4.30587]
[82.14063,-2.10380]
[81.90799,-2.61494]
[84.73863,-1.26971]
[85.17648,-1.45981]
[83.56662,-0.78953]
[82.47448,-0.95832]
[81.64353,-3.27419]
[80.74176,-2.71155]
[81.35816,-1.34049]
[82.37938,-2.18900]
[83.35386,-3.94156]
[82.49746,-4.06297]
[82.09426,-3.67644]
[81.21538,-3.14246]
[79.94621,-3.90931]
[79.80011,-4.11387]
[80.82803,-3.55258]
[82.09271,-4.10927]
[81.47581,-1.95661]
[79.60951,-2.99404]
[79.86351,-3.55058]
[80.07918,-4.96613]
[80.32745,-4.25468]
[80.35245,-4.20830]
[80.08566,-3.03284]
[80.26606,-2.04277]
[81.39576,-1.43637]
[82.25705,-2.63314]
[85.17003,-5.74438]
[85.81083,-4.72449]
[85.55408,-5.55618]
[85.42231,-3.92684]
[85.36306,-3.96376]
[85.77368,-3.59935]
[85.09395,-2.24146]
[84.53011,-3.73866]
[84.91691,-5.54888]
[83.76535,-2.99879]
[82.36830,-2.79419]
[80.61391,-2.00497]
[83.56861,-2.45633]
[86.67275,-3.91804]
[87.26891,-4.91867]
[85.49241,-4.61490]
[84.55430,-3.44736]
[83.84006,-3.20124]
[82.69068,-1.75103]
[81.54769,-1.45935]
[80.42636,-2.13633]
[80.70126,-2.72352]
[80.65448,-3.84339]
[80.78767,-3.28259]
[81.38772,-4.45541]
[81.80439,-4.09539]
[80.64710,-4.33418]
[80.10617,-3.20118]
[80.04576,-2.97551]
[80.74806,-3.36556]
[80.18789,-3.90634]
[79.74968,-4.16346]
[81.39183,-2.26268]
